REG_ANS;Trimestre;Ano;ValorDespesas
420786;1T;2025;6266876.95
420816;1T;2025;713631.78
420841;1T;2025;2848.8
420930;1T;2025;637492.58
420981;1T;2025;1516452.39
421006;1T;2025;16124343.55
421146;1T;2025;0
421154;1T;2025;10975343.38
421189;1T;2025;757403.48
421197;1T;2025;23701189.83
421341;1T;2025;22284895.52
421359;1T;2025;3616294.03
421367;1T;2025;1484944.68
421421;1T;2025;61558843.68
421561;1T;2025;228946.14
421618;1T;2025;1358108.8
421634;1T;2025;1120459.57
421642;1T;2025;225.39
421707;1T;2025;4246798.36
421715;1T;2025;0
421723;1T;2025;490266.37
421731;1T;2025;10046468.75
421766;1T;2025;13248066.98
421871;1T;2025;2341437.47
421928;1T;2025;91207494.34
421944;1T;2025;13447817.12
422029;1T;2025;61580643.9
422053;1T;2025;0
422070;1T;2025;13257333.35
422088;1T;2025;1006362.67
422134;1T;2025;-406662.69
422151;1T;2025;4131747.65
422304;1T;2025;1577022.52
422321;1T;2025;14613755.83
422339;1T;2025;85271230.7
422355;1T;2025;868650.49
422371;1T;2025;7059441.54
422398;1T;2025;23026981.04
422401;1T;2025;0
422479;1T;2025;20145.68
422576;1T;2025;0
422584;1T;2025;4724455.75
422631;1T;2025;30838913.81
422681;1T;2025;23867702.76
422746;1T;2025;506659.62
422754;1T;2025;-56030.71
422762;1T;2025;4203471.04
422771;1T;2025;13980899.16
422827;1T;2025;5750070.56
422835;1T;2025;2922346.6
422941;1T;2025;0
422959;1T;2025;1333585.26
423017;1T;2025;0
423173;1T;2025;66088065.98
423181;1T;2025;123798.39
423203;1T;2025;1695054.63
423262;1T;2025;129517.18
423319;1T;2025;13661040.54
423335;1T;2025;10834023.47
423351;1T;2025;5128852.61
423408;1T;2025;376454.29
423432;1T;2025;848570.21
423548;1T;2025;2745276.81
423564;1T;2025;182561.22
423629;1T;2025;3307898.92
423645;1T;2025;252458.74
423661;1T;2025;22232223.09
423700;1T;2025;1940.05
423718;1T;2025;4823111.7
423742;1T;2025;0
423815;1T;2025;5582.14
423858;1T;2025;0
423912;1T;2025;125920.19
424048;1T;2025;609816.24
424129;1T;2025;0
424145;1T;2025;0
424161;1T;2025;0
424170;1T;2025;240338.68
